EyeColor,IceCream,Snack,Adjective,Gender,Class
Blue,vanilla,peanuts,Lively,Male,AM
Green,chocolate,Tchip,Lively,Male,AM
Green,chocolate,Pchip,Outgoing,Male,AM
Brown,vanilla,pretzels,Lively,Male,AM
Brown,vanilla,popcorn,Lively,Male,AM
Green,vanilla,beef jerky,Outgoing,Male,AM
Brown,vanilla,beef jerky,Moral,Male,AM
Brown,vanilla,Tchip,Outgoing,Male,AM
Green,chocolate,pretzels,Moral,Male,AM
Blue,vanilla,Pchip,Moral,Male,AM
Green,vanilla,popcorn,Moral,Male,AM
Brown,coffee,beef jerky,Lively,Male,AM
Brown,chocolate,pretzels,Moral,Male,AM
Blue,fruit,pretzels,Perfectionist,Male,AM
Brown,vanilla,Pchip,Aggressive,Male,AM
Brown,fruit,Pchip,Moral,Male,AM
Brown,vanilla,beef jerky,Moral,Male,AM
Green,vanilla,popcorn,Perfectionist,Male,AM
Brown,chocolate,popcorn,Aggressive,Male,AM
Brown,coffee,beef jerky,Aggressive,Male,AM
Blue,chocolate,popcorn,Outgoing,Male,AM
Blue,fruit,beef jerky,Outgoing,Male,AM
Blue,chocolate,Tchip,Lively,Male,AM
Brown,vanilla,Tchip,Lively,Male,AM
Hazel,fruit,beef jerky,Outgoing,Male,AM
Brown,vanilla,beef jerky,Moral,Male,AM
Brown,vanilla,Pchip,Lively,Male,AM
Blue,vanilla,peanuts,Moral,Male,AM
Blue,vanilla,Pchip,Moral,Male,AM
Blue,vanilla,Tchip,Moral,Male,AM
Brown,vanilla,beef jerky,Moral,Male,AM
Brown,chocolate,beef jerky,Outgoing,Male,AM
Green,chocolate,pretzels,Moral,Male,AM
Brown,vanilla,pretzels,Lively,Male,AM
Brown,chocolate,Pchip,Aggressive,Male,AM
Hazel,fruit,beef jerky,Lively,Male,AM
Green,fruit,beef jerky,Aggressive,Male,AM
Hazel,coffee,beef jerky,Lively,Female,AM
Hazel,vanilla,Tchip,Perfectionist,Female,AM
Brown,vanilla,cheese,Lively,Female,AM
Brown,chocolate,pretzels,Moral,Female,AM
Green,chocolate,Pchip,Lively,Female,AM
Blue,vanilla,Tchip,Perfectionist,Female,AM
Green,fruit,popcorn,Outgoing,Female,AM
Blue,vanilla,pretzels,Moral,Female,AM
Blue,vanilla,pretzels,Perfectionist,Female,AM
Brown,chocolate,pretzels,Lively,Female,AM
Brown,chocolate,peanuts,Lively,Female,AM
Blue,chocolate,Tchip,Outgoing,Female,AM
Blue,chocolate,cheese,Lively,Female,AM
Brown,coffee,popcorn,Outgoing,Female,AM
Brown,chocolate,Pchip,Outgoing,Female,AM
Brown,vanilla,cheese,Lively,Female,AM
Green,chocolate,Pchip,Lively,Female,AM
Green,coffee,Tchip,Lively,Female,AM
Brown,vanilla,popcorn,Aggressive,Female,AM
Hazel,fruit,Pchip,Perfectionist,Female,AM
Brown,coffee,Pchip,Lively,Female,AM
