"","seconds_till_next"
"1",22.8
"2",30.5
"3",93.7
"4",22.3
"5",84.2
"6",19.1
"7",0.8
"8",4.2
"9",24.6
"10",7
"11",72.1
"12",55.3
"13",20.3
"14",27.5
"15",5.4
"16",76
"17",15.1
"18",2.7
"19",94
"20",20.1
"21",33
"22",12.7
"23",7.2
"24",6.9
"25",37.3
"26",50.5
"27",1
"28",12.9
"29",6.3
"30",8.2
"31",4.1
"32",11.5
"33",30.2
"34",11.3
"35",67.2
"36",7.5
"37",55.8
"38",38.6
"39",26.3
"40",20
"41",9.7
"42",60.1
"43",44.9
"44",32.1
"45",69.8
"46",34.4
"47",19
"48",1.1
"49",6.8
"50",18.2
"51",1.7
"52",27.5
"53",19.3
"54",17.1
"55",62.7
"56",6.5
"57",18.2
"58",51.6
"59",13.9
"60",1.5
"61",3.6
"62",36.4
"63",83.3
"64",18.8
"65",16.3
"66",17.5
"67",163.2
"68",8.6
"69",58.7
"70",21.7
"71",18.8
"72",29.1
"73",36.8
"74",13.6
"75",3.1
"76",25.2
"77",27.2
"78",30.9
"79",7.4
"80",85.4
"81",12.3
"82",110.2
"83",7.6
"84",37.9
"85",85.4
"86",46.3
"87",9.5
"88",6.3
"89",33.6
"90",29.2
"91",12.9
"92",0.1
"93",7.4
"94",6.5
"95",24
"96",4.4
"97",53
"98",6.7
"99",18.8
"100",5.2
