State,ST,County,Republicans 2016,Democrats 2016,Green 2016,Libertarians 2016,Less Than High School Diploma,At Least High School Diploma,At Least Bachelors's Degree,Graduate Degree,School Enrollment,Median Earnings 2010,Children Under 6 Living in Poverty,Adults 65 and Older Living in Poverty,Total Population,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Poverty.Rate.below.federal.poverty.threshold,Child.Poverty.living.in.families.below.the.poverty.line,White,Black,Hispanic,Asian,Amerindian,Other,Median Age,Poor.physical.health.days,Poor.mental.health.days,Low.birthweight,Teen.births,Children.in.single.parent.households,Adult.smoking,Adult.obesity,Diabetes,Sexually.transmitted.infections,HIV.prevalence.rate,Uninsured,Unemployment,Violent.crime,Homicide.rate,Injury.deaths,Infant.mortality
Arkansas,AR,"Madison County, Arkansas",72.00175721,23.23912725,0.790745351,2.108654269,24.2,75.8,13.4,4.1,76.4,23365.94889,26.2,18.45,15597,43.8,18.2,25.15,92,0.25,4.7,0.3,1.25,1.5,38.5,4.9,2.1,0.07,49,0.179,0.304,0.328,0.135,247.2,131.3,0.239,0.053,245.83,,96.8,
Oregon,OR,"Jackson County, Oregon",51.14511172,41.96013065,2.801838345,4.092919288,11.1,88.9,24.4,8.9,72.55,23911.27365,21,7.4,200621,32.3,13.95,18.95,84.9,0.55,9.75,1.15,0.7,2.95,41.7,4,4.2,0.06,36.5,0.359,0.186,0.239,0.088,257.3,87.1,0.208,0.108,272.41,2.3,72.7,5.8
Maine,ME,"Somerset County, Maine",57.75569932,35.01232286,1.987060998,5.244916821,13.4,86.6,15.3,5,73.2,24088.02286,31.3,12.05,51701,31.2,18.4,25.85,96.7,0.35,0.75,0.55,0.4,1.3,43.2,4.6,4.4,0.08,36.6,0.338,0.256,0.336,0.114,201.8,55.7,0.139,0.098,98.86,,69.7,6.4
Mississippi,MS,"Amite County, Mississippi",60.8844021,38.21982084,0.099530783,0.540309967,26,74,9.2,3.1,65.65,21763.20921,49.8,20.85,13212,26.6,27.15,45.8,56,42.45,0.65,0.1,0.35,0.4,42,4.4,3.6,0.12,61.9,0.475,0.269,0.347,0.145,329.1,191.2,0.242,0.104,,19.28,84.1,
South Dakota,SD,"Douglas County, South Dakota",83.36448598,13.33333333,,2.554517134,25.9,74.1,16,3,72.7,22792.61556,17.2,16.3,3026,18,10.45,10.45,96.8,0.2,0.6,0.05,1.4,1,47.7,2.7,3.2,,,0.129,0.126,0.293,0.097,,,0.159,0.034,12.13,,,
Indiana,IN,"Martin County, Indiana",76.86706886,18.32743915,,4.805491991,18.8,81.2,8.5,3.5,74.3,26599.97461,27.75,8.55,10200,43.5,12.95,20.7,97.9,0.05,1,0.25,0.15,0.65,42.1,4.4,,0.08,39.5,0.246,0.175,0.291,0.102,193.6,,0.156,0.067,107.53,,69.7,
Arizona,AZ,"Pinal County, Arizona",57.41378391,38.09711636,1.028729812,3.460369916,16.3,83.7,17.9,5.9,69.8,30916.07048,20.35,7.95,335941,27.8,13.7,18.8,58.45,3.85,29.15,1.45,4.75,2.35,35.7,3.5,3.5,0.07,60.6,0.335,0.173,0.314,0.104,281.7,174.1,0.194,0.089,228.8,6.78,67.5,6.6
California,CA,"San Benito County, California",36.82563169,57.19326201,1.553608013,3.790120646,26.2,73.8,18.3,5.1,76.9,29406.43175,13.65,7.4,55010,45.8,11.4,12.9,39.65,0.8,54.5,2.4,0.5,2.15,33.7,3.6,2.6,0.06,34.5,0.268,,0.243,0.074,358.5,74.3,0.193,0.139,395.06,3.41,36.7,4.1
Georgia,GA,"Elbert County, Georgia",66.5950455,31.68604651,,1.718907988,27,73,9.6,3.4,72.1,23110.88857,41.05,11.8,20370,49,22.05,34.95,64.85,29.55,4.25,0.45,0.2,0.7,39.9,6.2,4.1,0.1,62.7,0.451,0.188,0.355,0.142,507.9,183.1,0.244,0.118,373.77,,92,10.3
Virginia,VA,"Isle of Wight County, Virginia",58.44929447,37.46399102,0.380840779,2.74400664,13.8,86.2,25.1,9.2,79.95,33260.81905,17.75,6.65,34987,64.2,8.15,13.65,71.1,24.7,1.8,0.6,0.2,1.55,42.6,3.2,3.1,0.08,25.3,0.279,0.133,0.317,0.134,435.6,155.1,0.125,0.06,137.06,5.04,55.8,
